名称,状态,最优步数,类型
new2291,12966628682732446L,0,30
new2300,12685153706021790L,0,30
new4399,12966628683518878L,0,30
new4690,21410010452038046L,4,30
new4405,12685153706808222L,0,30
new6239,21412202284107576L,6,24
new3267,21410010452300190L,5,30
new8445,19707201115542428L,-1,28
new1337,20847911923667870L,7,30
new4724,3959705378804638L,4,30
new11894,18651669952992156L,58,28
new9785,19425726138831772L,-1,28
new11654,19707201115804572L,-1,28
new8518,21974366980215196L,2,28
new5215,19150275214371984L,-1,16
new9786,19707201115673500L,17,28
new5280,19431750191082640L,-1,16
new6155,19425726139093916L,-1,28
new6074,3951921406504856L,4,24
new3826,19425726139487132L,42,28
new8811,21957350581146012L,5,28
new12309,21410037605123164L,5,28
new8770,21957350581408156L,5,28
new1742,22001236354870680L,-1,24
new8958,18651668881494940L,-1,28
new4466,21973851594887580L,6,28
new12034,18651668881232796L,-1,28
new4478,21973851595149724L,5,28
new7840,19707200010523036L,29,28
new8167,21411933849405240L,2,24
new8853,18025440461582232L,-1,24
new8903,18025431871909784L,-1,24
new6726,21411927406462776L,5,24
new6973,21482267160102712L,2,24
new6085,12994304495415192L,0,24
new5176,19712091281812624L,-1,16
new4203,3959980256711582L,4,30
new6717,3996279475036828L,-1,28
new504,2834080349868958L,5,30
new2795,3389246330990488L,-1,24
new6523,21965015738010462L,40,30
new8132,21974092102832540L,2,28
new9639,574026256543640L,75,24
new7203,21410312483030108L,4,28
new2794,3389246329941912L,-1,24
new2043,12966628677227422L,0,30
new2051,12685153700516766L,0,30
new9844,574060616282008L,74,24
new7723,21412202292496184L,5,24
new10824,21693677269206840L,4,24
new575,18656593394592912L,-1,16
new8956,18651668887786396L,-1,28
new9784,19707201123931036L,-1,28
new9960,19425725090173596L,41,28
new1942,21973851584401820L,41,28
new7901,19707200050107292L,32,28
new534,19712125630999696L,-1,16
new6852,18651668887524252L,-1,28
new11652,19707201124193180L,-1,28
new1952,21973851584663964L,41,28
new5113,19150275205983376L,-1,16
new6856,18651668887458716L,63,28
new1567,3950634408397662L,-1,30
new4984,20847951677297052L,39,28
new6072,3951921398116248L,5,24
new1834,21973851584139676L,40,28
new20,12985850917562236L,0,28
new8856,21957350572757404L,5,28
new9465,4032201230734232L,9,24
new8866,21957350573019548L,5,28
new2040,22001236346416536L,4,24
new2820,18656559034920080L,68,16
new2045,22001236346482072L,-1,24
new8068,3750726254547864L,-1,24
new2808,19712091271326864L,-1,16
