名称,状态,最优步数,类型
new36528,12713379257741208L,0,24
new37654,3669896624696984L,9,24
new102478,18405834113766296L,79,24
new19070,9661434522129304L,80,24
new99181,10716966758273944L,-1,24
new32277,10716966758536088L,-1,24
new92907,9661434521867160L,81,24
new85287,20276929416432280L,17,24
new95626,9407447335529624L,76,24
new95606,9407447335267480L,76,24
new101,20268125002437272L,11,24
new56441,11422003613983864L,103,24
new3444,9661434521080728L,80,24
new26280,84175034830744L,75,24
new40247,3669896657988472L,7,24
new5994,1139705123721112L,29,24
new15031,2256810547390360L,60,24
new93123,9661434520818584L,81,24
new11378,9372299519446936L,67,24
new105983,20848116038521752L,7,24
new11508,9372265159708568L,66,24
new69796,19144776574084984L,-1,24
new77481,18177180790170744L,78,24
new11364,9372299518398360L,66,24
new13103,9090790182408088L,60,24
new35745,11307954246806680L,41,24
new47292,400797878546328L,77,24
new74956,19223870008217464L,-1,24
new97164,20848116037473176L,7,24
new14254,11588879526227864L,49,24
new15034,2256776196040504L,55,24
new43949,1526697785388952L,78,24
new77336,18177172200236152L,79,24
new93561,10533347240275096L,67,24
new93771,12676296492796056L,0,24
new69119,20288501400520504L,67,24
new7920,10427795247288216L,47,24
new11477,9372265158659992L,65,24
new35923,11307954247330968L,-1,24
new67971,19153536697519992L,64,24
new98206,10716966755128216L,21,24
new14883,2256810555778872L,56,24
new46262,10716966755390360L,22,24
new22267,19422953293329048L,-1,24
new78193,18177490027816024L,80,24
new42689,365890530299800L,68,24
new69970,19144776582473624L,-1,24
new10593,3400259933873496L,-1,24
new11305,3669896647240600L,4,24
new90729,1130043292562072L,63,24
new14507,20596077657140376L,37,24
new71624,584451705164696L,38,24
new71660,20315152427789464L,31,24
new13270,11422278500017272L,-1,24
new14743,2274634896549272L,91,24
new52345,3399743456437592L,36,24
new86243,2253778569441944L,11,24
new3719,21683495747537048L,1,24
new14697,2257051065558936L,48,24
new24963,84415552737176L,71,24
new43009,11422303195800696L,99,24
new52249,3387658257345112L,4,24
new65486,20847849747403672L,8,24
new43098,365890529251224L,68,24
new65608,654785015862168L,82,24
new75764,19724148830262168L,57,24
new80317,18096889908218264L,79,24
new97383,19540529364955032L,97,24
new7506,3669896647502744L,5,24
new86232,2253744209703576L,10,24
new12391,19724148830000024L,56,24
new36822,12676330860923768L,0,24
new39060,10146354622648184L,32,24
new65379,20847884107142040L,7,24
new81645,21402863691401816L,7,24
new95699,19434977322160024L,73,24
new97384,19540529364692888L,96,24
new101634,20847849750549400L,7,24
new78615,18177490027816056L,79,24
new1862,18668616596738968L,90,24
new108545,19724148833407896L,64,24
new14007,19724148833145752L,65,24
new101576,20847884110287768L,8,24
new101996,18668616597001112L,91,24
new43687,12677095365102488L,0,24
new45064,11281816971421080L,38,24
new104299,11260960644313752L,5,24
new7723,18414629410139288L,87,24
new107808,20429752095786104L,103,24
new3714,12676296503282552L,0,24
new7773,18414629410401432L,88,24
new41868,11269747341560472L,2,24
new42539,11422303195800664L,100,24
new84795,20288232965818168L,64,24
new106825,21396832442402168L,42,24
new104295,11260926284575384L,4,24
new2222,18668616595690392L,89,24
new40059,11589678382542744L,31,24
new69508,20288226522875704L,62,24
new47725,9090515278547352L,66,24
new83841,20358566276515640L,-1,24
new93684,18668616595952536L,90,24
new43388,365615660781464L,83,24
new10988,3400534803391832L,63,24
new43689,12677095365102456L,0,24
new11221,3388448530541144L,6,24
new15469,9407447377473432L,74,24
new44801,84140683480984L,76,24
new14585,2274360027030936L,78,24
new71807,20848116026987416L,5,24
new88632,1129768423305880L,60,24
new3713,12676296503282584L,0,24
new15030,2256776196040600L,60,24
new84138,2253469340447384L,12,24
new14522,19724148826067864L,65,24
new43377,365615659732888L,82,24
new44807,84175043219352L,76,24
new3445,18668616589661080L,90,24
new14882,2256810555778968L,61,24
new76971,18097164777474456L,81,24
new57856,584451712504728L,39,24
new71276,584451712242584L,39,24
new97710,12686191016350616L,0,24
new50362,654785023202200L,81,24
new64526,654785022940056L,82,24
new69971,19144776582473592L,-1,24
new11306,3669896647240568L,4,24
new43690,12677095365102424L,0,24
new45117,11281542101902744L,62,24
new42637,584451711456152L,39,24
new45407,12395647248403032L,0,24
new69038,400797836602520L,77,24
new10208,11588879517839256L,50,24
new43883,10533347282218904L,66,24
new68986,400797836340376L,77,24
new70647,584451711194008L,39,24
new69974,20288501408909112L,66,24
new14700,10533347281432472L,83,24
new36146,654785022153624L,81,24
new94148,11307954255719576L,-1,24
new102808,12703784006914968L,0,24
new7507,3669896647502712L,5,24
new105893,11260651415319192L,4,24
new15035,2256810547390264L,57,24
new36819,12676330860923800L,0,24
new39059,10146354622648216L,31,24
new64961,654785021891480L,81,24
new95698,19434977322159992L,74,24
new69794,19144776574085016L,-1,24
new72637,21684294619843416L,1,24
new12080,21395441376322712L,-1,24
new74957,19223870008217496L,-1,24
new99985,20596077699084184L,50,24
new56391,11422278491628664L,-1,24
new86797,2253778577830552L,12,24
new53242,3387658265733720L,5,24
new59570,11422303187412088L,98,24
new89836,21402829323274840L,7,24
