名称,状态,最优步数,类型
new17185,2834069167682460L,-1,28
new38060,9090377841428892L,-1,28
new47070,12676638958227324L,0,28
new105052,21684731583991164L,33,28
new40716,10427381765180828L,59,28
new70664,21683633161324924L,45,28
new30203,3669715185642396L,7,28
new32221,2834069168731036L,-1,28
new51695,9090377840380316L,-1,28
new48909,9090377839593884L,66,28
new11652,21692608579178908L,7,28
new102047,21412028271576444L,36,28
new47166,12676913835610012L,0,28
new4030,19443076507702172L,40,28
new79885,20340278465161116L,-1,28
new44245,11550807770861436L,17,28
new77206,21465912075642716L,55,28
new93912,21395544455537756L,49,28
new66656,21675317299057052L,5,28
new81207,21482395908458300L,47,28
new83621,18387270467670940L,67,28
new79100,21482361548719932L,48,28
new66384,18097577095645596L,66,28
new78555,18026933473544540L,43,28
new78761,18027208351451548L,52,28
new68642,18387270466622364L,67,28
new71596,19423562583085468L,-1,28
new63230,20549486111691164L,40,28
new71601,19423562583347612L,-1,28
new80036,20340003587254172L,-1,28
new77515,18097577094334876L,65,28
new44420,11550532892954492L,16,28
new81499,18097577094597020L,65,28
new67932,2834060586136476L,-1,28
new54455,9380096974345116L,89,28
new63829,2269454932947868L,10,28
new95628,11559853014978972L,39,28
new2919,3415797758444092L,33,28
new80721,19250945397908092L,-1,28
new68579,2834060587185052L,-1,28
new41783,9380096973296540L,88,28
new73758,1143623745581980L,28,28
new100365,20271293312812412L,45,28
new18009,3468547154790204L,63,28
new44422,11550532892954524L,16,28
new18050,3468512795051836L,64,28
new86373,20276517084629916L,-1,28
new78759,18027208351451484L,44,28
new71038,20558007025078172L,25,28
new81097,20340287046707100L,-1,28
new83300,18125047134946396L,96,28
new76155,21465903494096732L,44,28
new65692,19422945215107996L,-1,28
new47165,12676913835609980L,0,28
new51936,10435903014900636L,56,28
new5288,21411993911838108L,-1,28
new66786,19422945215370140L,-1,28
new56599,11269335009758108L,31,28
new75442,19214103780811068L,-1,28
new38392,10435903013852060L,56,28
new14624,21692883456561564L,5,28
new81780,18016720813077148L,-1,28
new57033,9117865060598876L,-1,28
new27747,1236564604895868L,53,28
new18010,3468547154790268L,-1,28
new44246,11550807770861468L,17,28
new84190,20376845304750652L,57,28
new10254,20567052269195676L,30,28
new83232,18387279049216924L,72,28
new15013,3669715184593788L,6,28
new47071,12676638958227356L,0,28
new68196,18387279048168348L,71,28
new30200,3669715185642364L,7,28
new70740,20557732147171228L,26,28
new60222,12395166197123996L,0,28
new66821,18097577102723484L,65,28
new81168,20340012168800156L,-1,28
new17928,3469646666417756L,63,28
new44383,11551082648768380L,17,28
new81503,18097577102985628L,65,28
new98795,9380071229707164L,67,28
new18255,3468512795051676L,-1,28
new10249,21692608594907548L,5,28
new27195,2270004671460252L,10,28
new99126,9380071228658588L,67,28
new1003,10145909019806108L,57,28
new40622,10427381765180572L,59,28
new74838,21684731566165372L,42,28
new101932,21402158201850236L,28,28
new102045,21412028271576188L,35,28
new53647,10145909019019676L,68,28
new73407,372889154835356L,103,28
new85274,83178603465116L,86,28
new2060,3387940651428732L,4,28
new74301,1138708691306908L,47,28
new85833,83178602154396L,85,28
new73932,372889153786780L,103,28
new85871,83178602416540L,86,28
new86368,20276517107960732L,-1,28
new94339,20276517108747164L,42,28
new2384,19443076523430812L,50,28
new93280,21395535865603420L,44,28
new79991,21465912075642460L,56,28
new102628,19422945240273820L,-1,28
new744,19422945240535964L,-1,28
new9442,19423562603270556L,25,28
new97311,10435877270262684L,45,28
new4805,20267370170602396L,14,28
new12126,21393818717295004L,6,28
new38815,12394890261187452L,0,28
new12138,21393818717557148L,6,28
new77741,20267370170340252L,14,28
new78828,18025833961916796L,50,28
new56589,11269335033088924L,31,28
new80503,19214112362356796L,-1,28
new97059,10435877269214108L,44,28
new93754,21675317316882844L,7,28
new12109,21393818718605724L,6,28
new7464,11269335033875356L,41,28
new43713,3669689439955836L,6,28
new91526,20549486129516956L,44,28
new60245,12395166220454812L,0,28
new16244,20267987531239836L,23,28
new2396,12395166221241244L,0,28
new78959,18026108839823772L,51,28
new43666,3669689441004412L,7,28
new16235,20267987530191260L,23,28
new78090,20340003587253916L,-1,28
new16231,20267987529929116L,24,28
new43723,3669689439955868L,6,28
new104577,21684731575602556L,33,28
new78957,18026108839823740L,51,28
new43672,3669689441004444L,7,28
new1116,10145909028194716L,57,28
new46884,10154154249704348L,51,28
new80807,19250945397908348L,-1,28
new97140,21683633186490748L,29,28
new78836,18025799602178460L,44,28
new105063,9090377865546140L,88,28
new96404,11559853030707612L,18,28
new38064,9090377864759708L,-1,28
new17829,3469646666417980L,62,28
new44578,11550532892954268L,15,28
new53652,10145909027408284L,67,28
new24807,372897736381340L,95,28
new38817,12394890261187484L,0,28
new2909,3415797758444316L,35,28
new85273,83178610543004L,86,28
new69635,2834060606059420L,-1,28
new9951,372897735332764L,95,28
new70514,2834069195994012L,-1,28
new86452,20276517099572124L,-1,28
new86852,83178610805148L,87,28
new48053,10150822983545756L,-1,28
new92087,20276517100358556L,41,28
new81149,21465903494096476L,45,28
new5283,21411993911837852L,-1,28
new15141,21692883472290204L,3,28
new31569,2269729794077596L,13,28
new12108,21393818725683612L,6,28
new63094,20267370162213788L,14,28
new2061,3387940651428764L,4,28
new11944,21393818725945756L,6,28
new61935,20267370161951644L,14,28
new2914,3415797758444412L,43,28
new40769,10427106887273628L,59,28
new56724,11269335024700316L,30,28
new80902,20376853894423356L,45,28
new81781,18016720813077404L,-1,28
new56961,9117865060599132L,-1,28
new77716,20267370163262364L,15,28
new27752,1236564604896124L,53,28
new18200,3468547154790012L,-1,28
new2383,11269335025486748L,40,28
new84318,20376845304750908L,56,28
new60309,12395166212066204L,0,28
new7483,12395166212852636L,0,28
new9439,19423562608251292L,-1,28
new10943,20567052284924316L,31,28
new9310,19423562608513436L,-1,28
new102620,19422945235293084L,21,28
new70732,20557732147170972L,27,28
new74529,19161336324576156L,17,28
new16042,20267987538579868L,22,28
new27751,1236564604896092L,54,28
new78785,20340012168799900L,-1,28
new16243,20267987538317724L,23,28
new17831,3469646666418012L,63,28
new19928,19705826264625820L,-1,28
new49378,10436177892807068L,60,28
new533,3398145158170524L,-1,28
new56418,11269609887664540L,40,28
new19553,19705826265674396L,-1,28
new35535,10436177891758492L,60,28
new74837,21683632054013308L,40,28
new88650,565829042328476L,51,28
new88797,19214112362357628L,-1,28
new70744,20557732147170684L,39,28
new74847,21683632054537596L,41,28
new93831,21482395908457852L,-1,28
new44519,11551082648767900L,20,28
new74843,21683632054275452L,41,28
new17432,20566777391289244L,31,28
new86964,565829043377052L,52,28
new40182,10427106887274364L,55,28
new66990,18097302224817052L,81,28
new81164,21465912108935004L,57,28
new77201,21465912109197148L,56,28
new81748,18097302225079196L,81,28
new18476,19705551386718876L,-1,28
new87623,19143153881764764L,44,28
new75285,21684113090350492L,2,28
new87618,19143153882026908L,44,28
new99546,11559578137072540L,35,28
new78817,18025833961917052L,49,28
new18035,19705551387767452L,-1,28
new71030,20558007025077628L,39,28
new66205,21412028271576892L,34,28
new90143,21402623149902236L,9,28
new64755,21411993911838524L,35,28
new75114,21683838212967804L,2,28
new86248,20276791962536348L,44,28
new87749,19214103780811676L,-1,28
new41223,10426832009367420L,54,28
new71162,20558281902984604L,38,28
new90314,20340561924613532L,-1,28
new96585,12685409324438428L,0,28
new81200,19705834846171804L,-1,28
new75202,21683838212967836L,2,28
new78953,18026108839823996L,50,28
new87753,19214103780811644L,-1,28
new90101,565820460782492L,-1,28
new41224,10426832009367452L,54,28
new66158,19705834847220380L,-1,28
new71161,20558281902984572L,38,28
new78842,18025799602178716L,44,28
new471,3398179517908796L,45,28
new90137,565820461831068L,-1,28
new75283,21684113090350460L,2,28
new532,3398145158170428L,46,28
new66647,18097302217739164L,82,28
new78550,18026933473545116L,41,28
new71328,19423287705179036L,-1,28
new93371,19705826259382940L,-1,28
new63163,20549211233784732L,57,28
new94022,19705834849317532L,-1,28
new71504,19423287705441180L,-1,28
new98011,12685684201821084L,0,28
new80026,21465903527389020L,43,28
new77862,18097302216428444L,81,28
new104745,21683632065023356L,31,28
new76148,21465903527651164L,43,28
new81750,18097302216690588L,81,28
new104740,21683632064761212L,32,28
new89734,19143153890153372L,43,28
new53774,10145634126171036L,49,28
new82645,19705559968264860L,-1,28
new21361,21482361548719516L,-1,28
new89728,19143153890415516L,43,28
new30106,3669783871564668L,-1,28
new44435,9090102963522460L,-1,28
new40189,10427106887274396L,55,28
new67571,19705559969313436L,-1,28
new12922,3669759174732668L,30,28
new81782,18016720846631580L,-1,28
new14927,3669783870516092L,-1,28
new56910,9090102962473884L,-1,28
new49233,9090102961687452L,82,28
new62478,20271293312812860L,37,28
new473,3398179517908860L,-1,28
new13247,2292096892159868L,36,28
new30104,3669783871564636L,-1,28
new4765,19443351385608604L,29,28
new40533,10427381765181308L,55,28
new88801,19214112362357660L,-1,28
new14926,3669783870516060L,-1,28
new89636,20340553343067548L,-1,28
new55,3399279029536348L,43,28
new34518,11264111237941116L,57,28
new431,3398145158170268L,-1,28
new17587,1138433813400444L,54,28
new56413,11269609902606748L,39,28
new93829,21482395908457596L,-1,28
new14005,11269609903393180L,36,28
new44430,11551082648767644L,21,28
new47133,12676913835609244L,0,28
new101740,21402089515927932L,6,28
new9109,19423287730344860L,-1,28
new16065,20566777407017884L,49,28
new40128,565820437713820L,-1,28
new40195,565829027648412L,-1,28
new2326,19423287730607004L,-1,28
new5157,20267712660673436L,36,28
new29355,20340278465160348L,-1,28
new105047,21683632073411964L,30,28
new1121,20267712660411292L,36,28
new61418,21395535865603932L,40,28
new76153,21465903536039772L,43,28
new62562,21395544455538524L,41,28
new77207,21465912125974364L,44,28
new43817,3669758126926716L,29,28
new75154,21684113090350236L,1,28
new90136,21402623164844444L,9,28
new35749,3669759200947068L,48,28
new95275,21402623165630876L,7,28
new43766,3669758125878140L,29,28
new79149,18017253959455644L,34,28
new12543,10145634150288284L,66,28
new35186,3669759199898492L,47,28
new75462,19143153866298268L,35,28
new23412,1236564647102332L,55,28
new31864,9090102987639708L,96,28
new79140,18017219599717276L,35,28
new94874,11559578152801180L,43,28
new12944,2292096883509116L,38,28
new44423,9090102986853276L,-1,28
new13246,2292096883771260L,37,28
new53758,10145634149501852L,49,28
new43820,3669758126926684L,30,28
new92410,12685409340167068L,0,28
new78541,18026933473544796L,43,28
new43768,3669758125878108L,30,28
new13458,82903732636572L,96,28
new23411,1236564647102300L,56,28
new59794,82903732898716L,95,28
new71002,20558281902984348L,37,28
new86238,20276791977478556L,44,28
new86558,20340561924613276L,-1,28
new97555,20276791978264988L,35,28
new9160,19423287725364124L,24,28
new94497,10436152148169116L,32,28
new75355,21683838212967580L,1,28
new41429,10426832009367196L,53,28
new56419,11269609910995356L,40,28
new94485,10436152147120540L,32,28
new78845,18025799602178972L,43,28
new83490,18125047134947196L,-1,28
new173,3399279029536572L,44,28
new14168,11269609911781788L,37,28
new91446,20549211251610524L,57,28
new98170,12685684217549724L,0,28
new1136,20267712653333404L,35,28
new78745,18027208351451740L,44,28
new78825,18025833961917340L,42,28
new82987,19250945397907804L,48,28
new80596,20376853894422876L,-1,28
new71142,20558007025077404L,38,28
new570,20267712652284828L,36,28
new83489,18125047134947164L,-1,28
new86619,20340287046706332L,-1,28
new382,20267712652022684L,36,28
new79312,20376845304750428L,47,28
new90142,21402623173233052L,8,28
new21350,21482361548719260L,-1,28
new5399,21402089515927964L,6,28
new95340,21402623174019484L,8,28
new16719,10145634141899676L,67,28
new17778,1138708691307388L,55,28
new80642,20376853894422844L,-1,28
new8477,2292096874858364L,38,28
new23408,1236564638713724L,54,28
new12941,2292096875120508L,38,28
new27574,1236564638451580L,53,28
new349,3398179517908604L,-1,28
new2249,3388284215257980L,46,28
new13241,2292096875382652L,37,28
new44566,11550807770860700L,22,28
new53895,10145634141113244L,48,28
new13475,82903725558684L,96,28
new47189,12676638958226588L,0,28
new19882,19705551398253212L,-1,28
new17588,1138433813400476L,53,28
new20732,19705559988187804L,-1,28
new26640,82903724247964L,96,28
new23407,1236564638713692L,55,28
new28124,82903724510108L,96,28
new56835,9117865060599676L,66,28
new86246,20276791985867164L,43,28
new29262,20340553343067292L,-1,28
new27571,1236564638451548L,54,28
new63883,20285037208163228L,14,28
new97677,20276791986653596L,36,28
new174,3399279029536604L,44,28
new7004,19443351401337244L,36,28
new1330,3397045646543516L,-1,28
new49172,10151381564173468L,39,28
new4088,3433346122386076L,-1,28
new77289,19158031096131196L,31,28
new6171,3660953384201116L,-1,28
new67558,21674802137869148L,-1,28
new50778,1428978957880476L,40,28
new25743,1144114177167260L,32,28
new48925,9090376766588316L,109,28
new46225,3679619564776348L,-1,28
new48587,1426224280874652L,36,28
new51158,1144199506079132L,19,28
new50768,1428978956831900L,39,28
new49565,10151106719821436L,42,28
new50764,1428978956569756L,38,28
new94491,19443076775874460L,44,28
new50931,373448867122332L,129,28
new63314,2825299064664732L,-1,28
new29463,1253048958339484L,-1,28
new67586,21430744916429148L,42,28
new41302,91965300149404L,96,28
new57743,127150141999260L,-1,28
new96872,20566777675189404L,37,28
new41256,91973890083996L,95,28
new66251,21674836497607516L,-1,28
new25606,1252774046354268L,49,28
new31858,1253048957815196L,-1,28
new50932,373448866073756L,129,28
new4102,1426773975870876L,-1,28
new48585,1426224278777500L,-1,28
new63151,2253613985197212L,34,28
new67595,21430744916691292L,43,28
new44675,3679653916125820L,39,28
new101668,21719856638398876L,6,28
new78862,19158305974038140L,32,28
new78938,18017228458093724L,-1,28
new44915,3680753427753820L,50,28
new47753,10150831841914492L,41,28
new94985,19442801897967516L,45,28
